description,startDate,startTime,endDate,endTime,duration
Git Review,2020-01-15,4:11:44 PM,2020-01-15,4:30:15 PM,0:18:31
Git Review,2020-01-15,4:46:57 PM,2020-01-15,6:55:34 PM,2:08:37
Scheduling,2020-01-17,7:40:06 AM,2020-01-17,11:20:06 AM,3:40:00
Scheduling,2020-01-17,1:12:51 PM,2020-01-17,2:39:51 PM,1:27:00
Initial Meeting and Planning,2020-01-19,9:34:12 AM,2020-01-19,11:55:47 AM,2:21:35
Logo,2020-01-19,1:32:58 PM,2020-01-19,2:41:58 PM,1:09:00
Organization Setups V,2020-01-20,9:40:55 AM,2020-01-20,11:13:05 AM,1:32:10
SE Meetings,2020-01-20,12:56:53 PM,2020-01-20,2:37:12 PM,1:40:19
Scrum,2020-01-21,3:57:15 PM,2020-01-21,5:00:01 PM,1:02:46
Scrum,2020-01-23,3:59:09 PM,2020-01-23,5:39:44 PM,1:40:35
Gen SE,2020-01-25,10:20:22 AM,2020-01-25,11:15:56 AM,0:55:34
Scrum,2020-01-25,3:55:16 PM,2020-01-25,5:48:07 PM,1:52:51
Scrum,2020-01-26,4:03:48 PM,2020-01-26,4:55:56 PM,0:52:08
Dr. Les Call,2020-01-26,7:57:14 PM,2020-01-26,8:12:58 PM,0:15:44
SE Assignment 1,2020-01-27,8:25:47 AM,2020-01-27,9:37:57 AM,1:12:10
Gen SE,2020-01-27,9:38:10 AM,2020-01-27,10:20:06 AM,0:41:56
Gen SE,2020-01-27,10:29:53 AM,2020-01-27,10:56:45 AM,0:26:52
Gen SE,2020-01-27,1:56:47 PM,2020-01-27,2:09:58 PM,0:13:11
Scrum,2020-01-27,4:09:42 PM,2020-01-27,5:58:13 PM,1:48:31
SE Assignment 1,2020-01-27,8:04:18 PM,2020-01-27,8:19:11 PM,0:14:53
Gen SE,2020-01-28,3:11:55 PM,2020-01-28,3:40:55 PM,0:29:00
Gen SE,2020-01-28,5:14:31 PM,2020-01-28,6:02:26 PM,0:47:55
Gen SE,2020-01-28,6:45:16 PM,2020-01-28,9:38:20 PM,2:53:04
Gen SE,2020-01-29,4:28:34 PM,2020-01-29,5:18:24 PM,0:49:50
Scrum,2020-01-29,5:18:36 PM,2020-01-29,7:30:44 PM,2:12:08
Scrum,2020-01-30,4:01:44 PM,2020-01-30,5:09:54 PM,1:08:10
Scrum,2020-01-31,5:11:43 PM,2020-01-31,5:55:23 PM,0:43:40
SE Assignment 2,2020-02-02,1:16:54 PM,2020-02-02,2:43:04 PM,1:26:10
Scrum,2020-02-03,3:59:25 PM,2020-02-03,4:52:36 PM,0:53:11
Scrum,2020-02-04,4:23:44 PM,2020-02-04,8:11:09 PM,3:47:25
Scrum,2020-02-05,4:05:19 PM,2020-02-05,6:32:19 PM,2:27:00
SE Assignment 3,2020-02-06,11:05:50 AM,2020-02-06,11:53:25 AM,0:47:35
SE Assignment 3,2020-02-06,2:00:38 PM,2020-02-06,3:03:04 PM,1:02:26
Scrum,2020-02-06,4:04:32 PM,2020-02-06,5:11:44 PM,1:07:12
SE Assignment 3,2020-02-06,5:13:02 PM,2020-02-06,7:01:45 PM,1:48:43
SE Iter 1,2020-02-07,1:57:52 PM,2020-02-07,6:01:27 PM,4:03:35
SE Iter 1,2020-02-08,11:28:43 AM,2020-02-08,7:21:45 PM,7:53:02
SE Iter 1,2020-02-09,12:45:12 PM,2020-02-09,8:02:06 PM,7:16:54
SE Iter 1,2020-02-10,4:03:21 PM,2020-02-10,9:46:59 PM,5:43:38
SE Iter 1,2020-02-11,10:38:07 AM,2020-02-11,11:12:47 AM,0:34:40
SE Iter 1,2020-02-11,2:27:11 PM,2020-02-12,5:22:23 AM,14:55:12
Scrum,2020-02-13,6:16:44 PM,2020-02-13,8:16:51 PM,2:00:07
SE Iter 2,2020-02-13,8:17:09 PM,2020-02-13,8:17:11 PM,0:00:02
SE Iter 2,2020-02-14,12:31:33 PM,2020-02-14,1:44:08 PM,1:12:35
SE Assignment 4,2020-02-14,1:46:07 PM,2020-02-14,2:19:10 PM,0:33:03
SE Assignment 4,2020-02-14,2:19:15 PM,2020-02-14,3:35:45 PM,1:16:30
SE Assignment 4,2020-02-14,4:03:12 PM,2020-02-14,4:35:07 PM,0:31:55
Scrum,2020-02-14,5:32:43 PM,2020-02-14,6:17:20 PM,0:44:37
SE Iter 2,2020-02-15,12:19:13 PM,2020-02-15,5:25:19 PM,5:06:06
SE Iter 2,2020-02-16,9:54:02 AM,2020-02-16,11:29:26 PM,13:35:24
SE Iter 2,2020-02-17,5:07:52 PM,2020-02-17,8:37:11 PM,3:29:19
SE Iter 2,2020-02-18,2:26:26 PM,2020-02-19,3:37:37 AM,13:11:11
SE Iter 3,2020-02-19,5:54:00 PM,2020-02-19,8:58:30 PM,3:04:30
SE Iter 3,2020-02-20,4:11:30 PM,2020-02-20,5:29:37 PM,1:18:07
SE Iter 3,2020-02-21,5:06:39 PM,2020-02-21,6:59:05 PM,1:52:26
SE Iter 3,2020-02-22,2:21:14 PM,2020-02-22,4:40:08 PM,2:18:54
SE Assignment 5,2020-02-22,4:40:22 PM,2020-02-22,7:31:16 PM,2:50:54
SE Iter 3,2020-02-22,7:31:29 PM,2020-02-22,8:01:59 PM,0:30:30
SE Iter 3,2020-02-23,1:48:11 PM,2020-02-23,7:32:22 PM,5:44:11
SE Iter 3,2020-02-24,5:36:16 PM,2020-02-24,6:54:52 PM,1:18:36
SE Iter 3,2020-02-25,3:11:00 PM,2020-02-26,5:26:43 AM,14:15:43
SE Iter 4,2020-02-27,3:28:35 PM,2020-02-27,5:50:11 PM,2:21:36
SE Iter 4,2020-02-28,11:42:05 AM,2020-02-28,6:51:06 PM,7:09:01
SE Iter 4,2020-03-01,11:37:10 AM,2020-03-01,9:11:52 PM,9:34:42
SE Iter 4,2020-03-02,10:35:53 AM,2020-03-02,11:45:59 AM,1:10:06
SE Iter 4,2020-03-02,4:02:48 PM,2020-03-02,4:57:41 PM,0:54:53
SE Iter 4,2020-03-02,6:01:05 PM,2020-03-02,7:49:49 PM,1:48:44
SE Iter 4,2020-03-03,1:10:13 PM,2020-03-03,2:24:08 PM,1:13:55
SE Iter 4,2020-03-03,3:35:09 PM,2020-03-04,5:53:30 AM,14:18:21
SE Iter 4,2020-03-04,8:49:09 AM,2020-03-04,12:02:56 PM,3:13:47
